Lab Code,Species,lipid,c12.0,c13.0,Iso14,c14.0,c14.1w9,c14.1w7,c14.1w5,Iso15,Anti15,c15.0,c15.1w8,c15.1w6,Iso16,c16.0,c16.1w11,c16.1w9,c16.1w7,c7Me16.0,c16.1w5,c16.2w6,Iso17,c16.2w4,c16.3w6,c17.0,c16.3w4,c17.1,c16.3w1,c16.4w3,c16.4w1,c18.0,c18.1w13,c18.1w11,c18.1w9,c18.1w7,c18.1w5,"c18.2d5,11",c18.2w7,c18.2w6,c18.2w4,c18.3w6,c18.3w4,c18.3w3,c18.3w1,c18.4w3,c18.4w1,c20.0,c20.1w11,c20.1w9,c20.1w7,c20.2w9,c20.2w6,c20.3w6,c20.4w6,c20.3w3,c20.4w3,c20.5w3,c22.1w11,c22.1w9,c22.1w7,c22.2w6,c21.5w3,c22.4w6,c22.5w6,c22.4w3,c22.5w3,c22.6w3,c24.1w9
P234,mackerel,2.97,0.04,0.03,0.02,4.98,0.2,0.03,0.16,0.21,0.06,0.31,0.01,0.01,0.14,14.11,0.35,0.14,4.72,0.26,0.07,0.05,0.1,0.27,0.4,0.89,0.21,0.24,0,0.18,0.43,2.5,0.1,0.6,8.92,4,0.4,0.04,0.03,1.26,0.08,0.12,0.07,0.48,0.08,0.8,0.1,0.14,6.77,4.48,0.32,0.1,0.22,0.09,0.86,0.09,0.41,10.01,9.7,0.91,0.15,0,0.32,0.05,0.11,0.05,1.34,14.78,1.01
P235,mackerel,5.85,0.03,0.02,0.02,4.64,0.18,0.02,0.12,0.2,0.06,0.3,0.01,0.01,0.16,14.47,0.37,0.14,4.77,0.25,0.09,0.05,0.1,0.29,0.4,0.79,0.21,0.22,0,0.17,0.48,2.64,0.13,0.65,8.76,3.99,0.48,0.05,0.03,1.17,0.09,0.12,0.07,0.43,0.08,0.83,0.14,0.15,6.74,4.14,0.31,0.12,0.22,0.09,0.87,0.08,0.45,10.45,9.44,0.9,0.17,0.01,0.36,0.03,0.11,0.05,1.52,14.42,1.19
P236,mackerel,3.81,0.03,0.02,0.02,6.27,0.2,0.03,0.13,0.2,0.06,0.28,0.02,0.01,0.11,12.4,0.4,0.12,5.5,0.24,0.1,0.09,0.11,0.28,0.7,0.46,0.39,0.17,0,0.14,1,2,0.15,0.78,6.24,3.01,0.53,0.04,0.03,1.09,0.14,0.12,0.08,0.43,0.09,1.2,0.24,0.16,9.92,3.64,0.27,0.12,0.22,0.1,0.68,0.06,0.5,11.45,11.75,0.81,0.16,0,0.37,0.03,0.08,0.05,1.92,11.1,0.97
P237,mackerel,6.71,0.03,0.02,0.02,5.94,0.23,0.02,0.14,0.24,0.06,0.3,0.02,0.01,0.1,11.04,0.4,0.11,5.1,0.25,0.09,0.08,0.11,0.28,0.59,0.38,0.35,0.18,0,0.21,0.86,1.49,0.14,0.83,5.99,2.49,0.54,0.03,0.03,1.03,0.13,0.11,0.08,0.45,0.08,1.38,0.28,0.17,9.84,4.88,0.31,0.16,0.21,0.08,0.47,0.06,0.53,10.17,17.27,1.38,0.26,0,0.4,0.02,0.06,0.05,1.67,8.7,1.06
P238,mackerel,3.73,0.03,0.03,0.03,5.77,0.2,0.02,0.15,0.23,0.06,0.3,0.02,0.01,0.11,12.35,0.37,0.12,5.18,0.26,0.08,0.06,0.1,0.23,0.51,0.65,0.26,0.2,0,0.24,0.64,1.83,0.13,0.79,7.18,3.3,0.49,0.04,0.03,1.14,0.11,0.12,0.07,0.44,0.07,1.01,0.19,0.16,9.13,4.81,0.32,0.13,0.2,0.09,0.65,0.06,0.46,9.34,14.06,1.19,0.2,0,0.34,0.03,0.09,0.04,1.64,10.87,1.09
P239,mackerel,3.82,0.06,0.03,0.03,5.75,0.17,0.03,0.16,0.23,0.07,0.33,0.01,0.01,0.12,14.45,0.39,0.14,5.57,0.3,0.09,0.05,0.11,0.22,0.46,0.82,0.22,0.25,0,0.19,0.47,2.21,0.16,0.64,9.98,4.54,0.5,0.05,0.03,1.3,0.09,0.12,0.07,0.5,0.06,0.82,0.1,0.15,7.62,4.42,0.35,0.12,0.22,0.09,0.72,0.08,0.43,9.19,10.12,0.95,0.16,0,0.34,0.03,0.09,0.04,1.23,10.6,1.14
P240,mackerel,9.98,0.04,0.03,0.02,5.76,0.17,0.03,0.16,0.22,0.07,0.34,0.02,0.01,0.09,12.71,0.43,0.12,5.41,0.32,0.09,0.07,0.11,0.23,0.5,0.47,0.28,0.23,0,0.2,0.73,1.3,0.16,0.67,8.37,3.19,0.63,0.05,0.03,1.2,0.13,0.12,0.08,0.61,0.07,1.62,0.26,0.15,8.92,5.03,0.28,0.15,0.22,0.08,0.41,0.08,0.64,10.33,14.64,1.26,0.23,0.03,0.46,0.02,0.05,0.05,1.4,7.34,0.93
P241,mackerel,9.36,0.05,0.03,0.03,6.7,0.19,0.03,0.16,0.22,0.07,0.33,0.02,0.01,0.08,11.99,0.43,0.13,5.06,0.31,0.06,0.08,0.11,0.25,0.58,0.44,0.33,0.2,0,0.2,0.87,1.34,0.18,0.68,7.01,2.69,0.58,0.04,0.03,1.16,0.12,0.13,0.08,0.62,0.08,1.93,0.25,0.16,10.26,4.68,0.26,0.14,0.22,0.08,0.42,0.07,0.65,10.56,14.88,1.12,0.2,0.02,0.48,0.02,0.06,0.05,1.41,7.58,0.8
P242,mackerel,8.41,0.04,0.03,0.02,5.91,0.16,0.03,0.18,0.24,0.08,0.37,0.02,0.01,0.1,13.32,0.47,0.16,5.63,0.35,0.07,0.06,0.11,0.27,0.48,0.42,0.25,0.25,0,0.23,0.6,1.5,0.19,0.67,8.95,3.56,0.63,0.05,0.03,1.31,0.13,0.12,0.08,0.68,0.08,1.69,0.22,0.14,8.28,4.46,0.28,0.13,0.24,0.08,0.46,0.09,0.68,10.38,12.54,1.05,0.19,0.01,0.48,0.03,0.07,0.05,1.42,8.43,0.78
P243,mackerel,3.46,0.04,0.03,0.02,5.04,0.16,0.03,0.17,0.21,0.07,0.31,0.01,0.01,0.15,14.46,0.38,0.16,5.5,0.27,0.05,0.04,0.1,0.21,0.4,0.66,0.18,0.23,0,0.32,0.37,2.36,0.13,0.68,9.94,4.61,0.44,0.04,0.03,1.31,0.08,0.12,0.07,0.49,0.06,0.82,0.11,0.14,7.28,4.26,0.32,0.1,0.21,0.1,0.8,0.07,0.45,9.65,9.59,0.9,0.16,0.02,0.37,0.03,0.1,0.04,1.37,12.22,1.03
P244,mackerel,5.08,0.04,0.03,0.03,5.89,0.2,0.03,0.19,0.24,0.07,0.36,0.01,0.01,0.11,12.67,0.45,0.19,5.86,0.33,0.09,0.06,0.12,0.28,0.51,0.72,0.24,0.25,0,0.25,0.53,1.71,0.15,0.71,9.78,3.92,0.52,0.04,0.03,1.37,0.1,0.13,0.08,0.59,0.08,1.35,0.15,0.14,8.4,4.67,0.35,0.12,0.24,0.09,0.59,0.08,0.54,9.04,12.49,1.11,0.18,0.02,0.41,0.03,0.09,0.04,1.29,8.66,0.98
P245,mackerel,3.16,0.03,0.03,0.03,5.87,0.2,0.02,0.14,0.23,0.06,0.28,0.01,0.01,0.13,13.12,0.37,0.15,4.95,0.27,0.08,0.07,0.11,0.25,0.52,0.57,0.27,0.2,0,0.29,0.63,2.24,0.16,0.81,7.12,3.26,0.47,0.04,0.03,1.05,0.11,0.11,0.07,0.37,0.06,0.85,0.18,0.16,9.38,4.01,0.29,0.12,0.19,0.09,0.7,0.06,0.41,9.49,12.1,0.94,0.18,0.01,0.33,0.03,0.09,0.05,1.63,12.86,1.1
P246,mackerel,3.45,0.05,0.03,0.03,5.5,0.19,0.03,0.16,0.24,0.07,0.35,0.01,0.01,0.13,14.3,0.38,0.17,5.14,0.28,0.08,0.05,0.12,0.22,0.44,0.9,0.2,0.25,0,0.16,0.42,2.19,0.15,0.56,9.78,4.32,0.45,0.04,0.04,1.24,0.08,0.11,0.07,0.45,0.06,0.75,0.11,0.16,7.5,4.75,0.36,0.11,0.21,0.09,0.72,0.08,0.43,8.66,11.29,1.09,0.18,0.02,0.33,0.04,0.09,0.04,1.42,10.91,1.25
P247,mackerel,8.63,0.04,0.02,0.02,5.89,0.17,0.02,0.15,0.22,0.07,0.35,0.01,0.01,0.09,12.27,0.47,0.16,5.15,0.35,0.11,0.07,0.11,0.25,0.46,0.51,0.23,0.21,0,0.21,0.61,1.43,0.18,0.74,7.89,2.92,0.63,0.04,0.03,1.21,0.12,0.12,0.08,0.64,0.08,1.86,0.23,0.16,9.56,4.59,0.27,0.15,0.23,0.08,0.42,0.08,0.71,10.07,14.85,1.15,0.21,0.03,0.49,0.03,0.07,0.06,1.39,8.09,0.93
P248,mackerel,2.83,0.05,0.03,0.03,5.06,0.18,0.02,0.15,0.22,0.07,0.31,0.01,0.01,0.17,15.38,0.36,0.15,5.19,0.27,0.06,0.04,0.11,0.2,0.35,0.94,0.16,0.23,0,0.2,0.3,2.41,0.15,0.6,9.8,4.53,0.45,0.07,0.03,1.23,0.07,0.11,0.06,0.43,0.05,0.59,0.07,0.15,6.89,4.16,0.31,0.1,0.21,0.1,0.83,0.08,0.4,9.58,9.68,0.96,0.17,0.03,0.33,0.03,0.1,0.04,1.18,12.51,1.32
P309,mackerel,3.21,0.05,0.02,0.02,5.16,0.16,0.02,0.13,0.2,0.06,0.33,0.01,0.01,0.14,15.36,0.39,0.17,4.56,0.3,0.08,0.04,0.1,0.23,0.4,0.88,0.19,0.22,0,0.17,0.42,2.58,0.14,0.52,9.46,4.27,0.48,0.05,0.03,1.22,0.08,0.11,0.07,0.51,0.07,0.87,0.1,0.14,7.29,3.92,0.29,0.1,0.22,0.09,0.79,0.08,0.45,10.57,9.35,0.83,0.15,0.03,0.35,0.03,0.1,0.04,1.21,12.53,1.1
P310,mackerel,11.18,0.04,0.02,0.02,6.74,0.19,0.02,0.17,0.22,0.07,0.31,0.02,0.01,0.09,12.03,0.43,0.14,5.53,0.31,0.05,0.08,0.11,0.25,0.63,0.4,0.35,0.2,0,0.19,0.94,1.62,0.18,0.77,7.21,2.99,0.57,0.04,0.03,1.15,0.13,0.12,0.08,0.56,0.08,1.51,0.26,0.15,9.84,4.52,0.27,0.13,0.21,0.08,0.47,0.07,0.57,10.73,13.32,1.09,0.19,0.03,0.45,0.03,0.06,0.05,1.54,8.56,0.74
P311,mackerel,2.45,0.04,0.02,0.02,4.73,0.17,0.02,0.12,0.2,0.06,0.33,0.01,0.01,0.16,14.79,0.36,0.16,4.22,0.28,0.08,0.04,0.1,0.24,0.34,0.93,0.16,0.24,0,0.41,0.31,2.84,0.12,0.49,9.28,4.3,0.43,0.05,0.03,1.19,0.07,0.11,0.06,0.43,0.06,0.62,0.08,0.14,6.67,4.43,0.3,0.1,0.21,0.09,0.87,0.08,0.4,9.15,10.63,0.99,0.16,0.02,0.28,0.03,0.11,0.04,1.27,14.06,1.29
P312,mackerel,9.74,0.05,0.02,0.02,5.2,0.15,0.03,0.19,0.23,0.07,0.36,0.01,0.01,0.09,13.63,0.45,0.18,6.57,0.35,0.08,0.06,0.12,0.24,0.47,0.52,0.22,0.26,0,0.2,0.5,1.42,0.15,0.49,10.94,4.28,0.62,0.05,0.04,1.35,0.11,0.12,0.07,0.67,0.07,1.44,0.2,0.12,7.36,4.53,0.32,0.13,0.23,0.09,0.47,0.08,0.58,10.62,11.16,1.15,0.2,0.02,0.47,0.03,0.07,0.05,1.24,7.87,0.9
P313,mackerel,3.85,0.04,0.02,0.02,5.16,0.19,0.03,0.14,0.22,0.06,0.33,0.02,0.01,0.13,14.17,0.4,0.17,5.65,0.27,0.08,0.05,0.11,0.21,0.46,0.86,0.2,0.23,0,0.14,0.39,2.1,0.14,0.57,10.12,4.53,0.46,0.05,0.03,1.26,0.08,0.11,0.07,0.43,0.06,0.71,0.12,0.15,7.33,4.73,0.37,0.11,0.19,0.1,0.77,0.06,0.4,9.13,11.45,1.21,0.21,0.02,0.33,0.03,0.09,0.04,1.49,9.8,1.35
P314,mackerel,8.53,0.04,0.02,0.02,5.58,0.16,0.03,0.17,0.24,0.08,0.35,0.01,0.01,0.1,13.31,0.45,0.16,6.94,0.29,0.09,0.07,0.13,0.19,0.56,0.72,0.27,0.23,0,0.18,0.66,1.57,0.15,0.46,10.51,4.36,0.52,0.04,0.04,1.26,0.12,0.13,0.08,0.49,0.06,1.1,0.21,0.15,8.43,4.69,0.43,0.12,0.21,0.06,0.5,0.07,0.48,9.39,12.13,1.22,0.23,0.02,0.46,0.03,0.06,0.04,1.46,6.66,1.04
P315,mackerel,5.31,0.05,0.03,0.02,5.65,0.16,0.03,0.21,0.23,0.08,0.35,0.02,0.01,0.11,13.77,0.4,0.18,6.35,0.33,0.07,0.05,0.12,0.19,0.46,0.87,0.19,0.27,0,0.22,0.36,1.85,0.13,0.49,12.44,4.71,0.51,0.04,0.04,1.45,0.08,0.11,0.07,0.57,0.06,0.93,0.11,0.14,8.31,4.78,0.38,0.11,0.21,0.09,0.58,0.07,0.44,8.34,10.43,1.12,0.17,0.02,0.34,0.03,0.07,0.04,1.18,7.74,1.13
P316,mackerel,6.12,0.04,0.02,0.02,5.31,0.15,0.03,0.18,0.22,0.06,0.36,0.02,0.01,0.11,14.2,0.45,0.19,6.89,0.36,0.1,0.05,0.12,0.23,0.42,0.75,0.17,0.29,0,0.23,0.33,1.56,0.14,0.46,13.51,4.72,0.58,0.04,0.03,1.39,0.1,0.11,0.08,0.59,0.06,0.98,0.13,0.12,8.25,4.29,0.31,0.1,0.2,0.09,0.5,0.08,0.5,8.25,9.82,0.94,0.16,0.02,0.37,0.03,0.07,0.04,1.17,7.93,0.96
P317,mackerel,9.33,0.05,0.02,0.02,5.91,0.16,0.02,0.16,0.22,0.06,0.36,0.02,0.01,0.09,13.56,0.44,0.16,5.22,0.35,0.09,0.07,0.12,0.23,0.47,0.48,0.27,0.23,0,0.2,0.71,1.41,0.18,0.55,8.96,3.28,0.62,0.05,0.03,1.19,0.12,0.11,0.08,0.64,0.08,1.67,0.25,0.14,8.73,4.57,0.27,0.14,0.22,0.05,0.4,0.08,0.65,10.74,13.29,1.12,0.21,0.02,0.47,0.02,0.06,0.05,1.23,7.81,0.85
P166,capelin,2.96,0.11,0.03,0.03,6.88,0.22,0.02,0.11,0.13,0.05,0.22,0.04,0.01,0.03,10.3,0.15,0.1,9.1,0.22,0.06,0.05,0.02,0.13,0.35,0.06,0.26,0.06,0,0.05,0.39,0.87,0.02,0.57,4.71,1.8,0.43,0.01,0.01,1.02,0.07,0.05,0.03,0.16,0.04,0.51,0.06,0.11,0.48,17.83,1.06,0.08,0.12,0.03,0.22,0.02,0.19,7.21,18.15,2.11,0.37,0.02,0.19,0,0.08,0.02,0.94,10.27,0.89
P167,capelin,1.45,0.07,0.02,0.01,4.07,0.21,0.02,0.04,0.1,0.03,0.22,0.01,0.01,0.03,14.98,0.22,0.16,4.4,0.28,0.1,0.02,0.03,0.26,0.14,0.09,0.07,0.07,0,0.07,0.09,1.72,0,0.54,5.53,2.67,0.51,0.03,0.02,1.17,0.09,0.03,0.03,0.26,0.08,0.45,0.07,0.08,0.42,9.24,0.5,0.05,0.14,0.03,0.51,0.03,0.27,14.32,8.41,0.97,0.16,0,0.32,0.02,0.19,0.02,1.75,22.41,1.08
P168,capelin,1.58,0.07,0.02,0.02,3.39,0.16,0.02,0.04,0.07,0.03,0.17,0.01,0.01,0.03,14.48,0.21,0.17,3.55,0.25,0.13,0.02,0.03,0.29,0.09,0.09,0.04,0.06,0,0.07,0.06,2.13,0,0.51,6.26,2.94,0.47,0.02,0.02,1.11,0.07,0.02,0.03,0.22,0.08,0.32,0.05,0.09,0.47,8.86,0.58,0.04,0.14,0.03,0.54,0.02,0.25,12.8,8.95,1.12,0.17,0,0.26,0.02,0.17,0.01,1.64,24.79,1.24
P169,capelin,4.12,0.09,0.03,0.02,7.07,0.19,0.02,0.14,0.13,0.05,0.21,0.03,0.02,0.03,10.16,0.15,0.11,10.88,0.21,0.06,0.06,0.02,0.13,0.36,0.05,0.27,0.07,0,0.05,0.45,0.9,0,0.56,4.87,2.14,0.43,0.01,0.02,1.31,0.06,0.06,0.03,0.2,0.03,0.6,0.07,0.11,0.49,17.63,0.94,0.07,0.14,0.03,0.18,0.02,0.2,6.69,18.93,2,0.36,0.02,0.21,0,0.07,0.03,0.87,7.64,0.87
P170,capelin,3.1,0.1,0.04,0.02,7.07,0.27,0.02,0.11,0.17,0.06,0.27,0.03,0.01,0.05,13.15,0.2,0.12,7.98,0.29,0.07,0.1,0.05,0.19,0.35,0.08,0.27,0.1,0,0.09,0.51,1.19,0.02,0.44,6.53,2.41,0.56,0.04,0.02,1.19,0.1,0.06,0.04,0.36,0.06,1.21,0.09,0.09,0.37,11.85,0.63,0.07,0.16,0.03,0.27,0.04,0.28,10.47,12.47,1.41,0.26,0.02,0.29,0.01,0.12,0.03,1.1,12.97,0.92
P171,capelin,2.21,0.08,0.02,0.01,4.83,0.21,0.02,0.07,0.08,0.03,0.19,0.02,0.01,0.03,12.31,0.18,0.14,5.41,0.24,0.05,0.03,0.02,0.2,0.22,0.07,0.14,0.05,0,0.05,0.27,1.28,0,0.73,4.67,2.19,0.45,0.01,0.01,0.95,0.08,0.03,0.03,0.17,0.04,0.43,0.09,0.09,0.55,14.01,0.9,0.07,0.13,0.03,0.33,0.02,0.25,11.04,13.37,1.79,0.28,0,0.29,0.01,0.11,0.02,1.63,17.89,0.89
P172,capelin,2.46,0.1,0.03,0.03,5.36,0.23,0.02,0.08,0.1,0.03,0.23,0.02,0.01,0.03,12.97,0.15,0.1,5.41,0.24,0.05,0.03,0.03,0.21,0.18,0.07,0.11,0.05,0,0.06,0.15,1.25,0,0.36,4.54,2.13,0.47,0.01,0,1.07,0.07,0.02,0.03,0.22,0.06,0.45,0.06,0.09,0.54,13.35,0.82,0.06,0.14,0.03,0.33,0.03,0.25,10.81,13.51,1.65,0.25,0,0.29,0.01,0.14,0,1.58,18.27,0.84
P173,capelin,3.82,0.13,0.04,0.02,6.97,0.25,0.02,0.14,0.14,0.05,0.23,0.04,0.01,0.03,10.09,0.18,0.12,9.81,0.26,0.05,0.05,0.03,0.2,0.39,0.06,0.29,0.07,0,0.06,0.42,0.94,0,0.7,5.64,1.87,0.5,0.02,0.01,1.12,0.08,0.06,0.03,0.19,0.06,0.57,0.07,0.1,0.54,16.72,0.94,0.09,0.13,0.03,0.21,0.02,0.22,6.82,17.19,2.01,0.34,0.01,0.21,0,0.09,0.02,0.9,10.32,0.96
P174,capelin,2.35,0.08,0.02,0.03,5.67,0.19,0.02,0.1,0.09,0.03,0.2,0.02,0.01,0.02,12.03,0.17,0.11,6.92,0.22,0.07,0.03,0.02,0.2,0.2,0.07,0.12,0.07,0,0.06,0.14,1.34,0,0.64,5.39,2.27,0.5,0.02,0.01,1.15,0.07,0.02,0.03,0.18,0.05,0.36,0.05,0.1,0.52,13.86,0.82,0.07,0.13,0.03,0.3,0.02,0.24,9.23,14.68,1.77,0.28,0.01,0.22,0,0.1,0.02,1.28,16.18,1.01
P175,capelin,4.47,0.11,0.03,0.02,6.68,0.19,0.02,0.16,0.14,0.05,0.23,0.03,0.02,0.03,10.83,0.18,0.1,11.46,0.27,0.04,0.06,0.03,0.16,0.43,0.06,0.3,0.07,0,0.06,0.53,0.88,0,0.56,4.98,2.07,0.55,0.02,0.01,1.39,0.08,0.07,0.03,0.22,0.04,0.75,0.08,0.09,0.52,15.84,0.93,0.08,0.14,0.02,0.21,0.03,0.24,7.89,15.26,1.86,0.31,0.01,0.24,0,0.08,0.03,0.95,10.42,0.7
P176,capelin,4.59,0.09,0.03,0.02,6.02,0.24,0.04,0.1,0.15,0.04,0.29,0.04,0.01,0.06,12.57,0.31,0.19,10.08,0.34,0.09,0.06,0.06,0.23,0.42,0.1,0.26,0.11,0,0.07,0.39,1.17,0,0.56,5.63,2.62,0.59,0.02,0.02,1.25,0.15,0.08,0.07,0.25,0.08,0.93,0.16,0.07,0.29,12.73,0.62,0.06,0.16,0.03,0.34,0.03,0.27,13.15,9.54,1.12,0.17,0.01,0.32,0.02,0.12,0.03,1.27,12.8,0.75
P177,capelin,4.65,0.11,0.03,0.02,6.33,0.17,0.03,0.11,0.16,0.05,0.3,0.04,0.01,0.05,12.67,0.38,0.26,11.38,0.36,0.06,0.06,0.07,0.27,0.47,0.11,0.28,0.1,0,0.08,0.45,1.09,0,0.68,5.92,2.72,0.67,0.05,0.02,1.29,0.15,0.08,0.08,0.27,0.06,0.93,0.17,0.07,0.36,11.22,0.62,0.06,0.15,0.03,0.31,0.03,0.32,11.86,9.79,1.15,0.19,0,0.3,0,0.11,0.03,1.44,12.42,0.66
P178,capelin,2.62,0.11,0.03,0.04,6.46,0.26,0.02,0.1,0.1,0.03,0.21,0.03,0.01,0.02,11.91,0.18,0.12,7.21,0.26,0.04,0.04,0.02,0.2,0.28,0.06,0.19,0.05,0,0.05,0.31,1.17,0,0.5,5.18,2.22,0.43,0.03,0.01,0.97,0.07,0.04,0.03,0.12,0.05,0.35,0.07,0.1,0.41,15.83,0.8,0.07,0.11,0.03,0.31,0.01,0.19,9.55,14.84,1.69,0.28,0.01,0.22,0,0.09,0.02,1.17,13.31,1.03
P179,capelin,3.42,0.13,0.04,0.02,6.32,0.21,0.02,0.11,0.15,0.06,0.26,0.04,0.01,0.03,10.84,0.2,0.09,9.1,0.27,0.06,0.07,0.04,0.13,0.5,0.05,0.35,0.07,0,0.06,0.68,0.93,0.03,0.51,4.67,1.95,0.54,0.02,0.01,1.06,0.1,0.07,0.04,0.24,0.06,1.02,0.11,0.1,0.4,16.02,0.89,0.09,0.14,0.03,0.26,0.03,0.26,10.18,14.79,1.79,0.33,0.01,0.29,0,0.12,0.04,1.08,10.74,0.9
P180,capelin,4.61,0.11,0.03,0.02,7.25,0.2,0.02,0.14,0.14,0.04,0.23,0.04,0.01,0.03,10.06,0.15,0.09,10.75,0.21,0.07,0.06,0.03,0.13,0.39,0.06,0.29,0.06,0,0.05,0.45,0.81,0.02,0.54,4.96,1.82,0.46,0.03,0.02,1.21,0.06,0.06,0.04,0.19,0.04,0.62,0.06,0.11,0.37,17.67,1.07,0.09,0.13,0.02,0.17,0.02,0.2,6.09,19.55,2.27,0.39,0.02,0.19,0,0.07,0.02,0.74,7.69,0.92
P181,capelin,1.68,0.03,0.01,0.02,3.81,0.12,0.03,0.05,0.11,0.02,0.26,0.02,0.02,0.05,16.29,0.47,0.32,8.97,0.36,0.13,0.05,0.08,0.46,0.31,0.12,0.14,0.11,0,0.09,0.21,2.05,0,0.75,8.89,4.27,0.69,0.04,0.03,1.3,0.14,0.07,0.07,0.27,0.11,0.76,0.12,0.05,0.28,3.95,0.41,0.05,0.15,0.05,0.66,0.03,0.36,15.79,2.26,0.39,0.07,0,0.36,0.02,0.15,0,1.89,19.95,0.97
P182,capelin,3.54,0.11,0.02,0.02,7.1,0.2,0.02,0.13,0.1,0.03,0.19,0.03,0.01,0.02,9.82,0.14,0.09,9.71,0.19,0.04,0.04,0.02,0.15,0.34,0.04,0.29,0.06,0,0.04,0.41,0.86,0,0.57,5.19,1.9,0.43,0.02,0.01,1.07,0.06,0.05,0.04,0.15,0.04,0.4,0.06,0.11,0.47,18.06,1.14,0.09,0.12,0.02,0.16,0.02,0.19,5.96,19.01,2.38,0.39,0.02,0.19,0,0.06,0.02,0.89,9.43,0.88
P183,capelin,2.19,0.13,0.02,0.02,6.3,0.18,0.02,0.1,0.11,0.04,0.18,0.02,0.01,0.03,11.39,0.14,0.13,6.99,0.2,0.08,0.03,0.02,0.2,0.17,0.06,0.09,0.06,0,0.04,0.1,1.36,0,0.59,5.19,2.16,0.42,0.01,0.01,1.33,0.06,0.03,0.03,0.17,0.06,0.25,0.05,0.12,0.46,16.04,1.1,0.08,0.14,0.03,0.28,0.02,0.2,8.01,16.88,1.99,0.34,0.02,0.2,0,0.09,0.01,1.16,12.92,1.06
P184,capelin,3.44,0.1,0.03,0.02,6.68,0.22,0.02,0.13,0.11,0.04,0.18,0.03,0.01,0.03,10.22,0.14,0.12,8.79,0.18,0.03,0.04,0.03,0.19,0.25,0.05,0.19,0.06,0,0.04,0.27,1.13,0,0.69,5.98,2.1,0.4,0.01,0.01,1.3,0.06,0.05,0.02,0.16,0.05,0.33,0.05,0.11,0.56,18.66,1.15,0.08,0.15,0.03,0.21,0,0.2,6.03,17.08,2.23,0.36,0.01,0.19,0,0.07,0.01,1.03,10.03,0.95
P185,capelin,2.33,0.08,0.03,0.04,4.97,0.2,0.02,0.07,0.12,0.04,0.26,0.02,0.01,0.03,14.42,0.2,0.13,5.72,0.3,0.07,0.04,0.04,0.24,0.23,0.09,0.14,0.06,0,0.06,0.25,1.37,0,0.48,4.7,2.48,0.49,0.01,0.55,0.55,0.08,0.03,0.03,0.27,0.06,0.61,0.08,0.07,0.35,10.64,0.52,0.06,0.15,0.03,0.4,0.03,0.26,12.96,9.74,1.05,0.18,0,0.3,0.01,0.18,0.02,1.6,20.84,0.75
P186,capelin,1.91,0.09,0.02,0.01,4.85,0.24,0.02,0.06,0.09,0.03,0.22,0.02,0.01,0.02,13.17,0.2,0.13,5.34,0.27,0.06,0.03,0.02,0.29,0.21,0.07,0.12,0.06,0,0.06,0.21,1.32,0,0.62,5.79,2.46,0.48,0.01,0,1.11,0.08,0.03,0.03,0.2,0.08,0.4,0.09,0.07,0.53,11.32,0.53,0.06,0.13,0.04,0.42,0.03,0.3,12.78,8.88,1.02,0.17,0,0.32,0.02,0.12,0.01,1.75,21.72,0.97
P187,capelin,3.81,0.09,0.03,0.02,5.62,0.23,0.02,0.1,0.12,0.03,0.23,0.03,0.01,0.03,11.81,0.22,0.11,7.87,0.29,0.03,0.07,0.03,0.21,0.46,0.06,0.37,0.07,0,0.05,0.86,1,0.01,0.56,4.23,2.05,0.48,0,0,0.94,0.09,0.05,0.03,0.22,0.05,0.93,0.11,0.08,0.35,15.65,0.62,0.06,0.13,0.03,0.32,0.02,0.26,12.11,11.32,1.41,0.24,0,0.33,0,0.12,0.05,1.22,15,0.6
P188,capelin,3.21,0.1,0.02,0.01,6.22,0.19,0.02,0.12,0.1,0.03,0.22,0.03,0.01,0.02,10.61,0.14,0.1,8.83,0.25,0.05,0.04,0.03,0.11,0.28,0.06,0.2,0.06,0,0.05,0.22,0.97,0,0.69,4.92,1.98,0.52,0.02,0,1.27,0.07,0.04,0.04,0.19,0.04,0.42,0.06,0.11,0.56,15.95,1.03,0.09,0.13,0.03,0.21,0.02,0.21,7.42,18.96,2.24,0.37,0.02,0.23,0.01,0.09,0.02,1.01,11.02,0.88
P189,capelin,3.79,0.1,0.03,0.01,6.93,0.19,0.02,0.14,0.1,0.03,0.2,0.03,0.01,0.03,9.95,0.13,0.09,9.98,0.19,0.04,0.04,0.02,0.11,0.32,0.04,0.25,0.05,0,0.04,0.32,0.83,0,0.66,4.96,1.86,0.41,0.01,0,1.15,0.06,0.05,0.03,0.13,0.04,0.37,0.05,0.11,0.59,18.2,1.19,0.08,0.11,0.03,0.17,0.01,0.16,5.64,20.28,2.49,0.41,0.02,0.18,0,0.06,0.01,0.8,8.4,0.88
P190,capelin,3.64,0.1,0.03,0.01,6.78,0.21,0.02,0.14,0.13,0.04,0.24,0.03,0.01,0.04,11.05,0.17,0.09,11,0.23,0.04,0.06,0.04,0.16,0.4,0.07,0.3,0.09,0,0.05,0.48,0.91,0,0.58,5.24,2.03,0.5,0.03,0.01,1.36,0.09,0.07,0.03,0.23,0.05,0.73,0.08,0.09,0.47,15.48,0.96,0.08,0.16,0.03,0.2,0.03,0.24,8.27,15.05,1.91,0.32,0.01,0.25,0,0.09,0.03,0.96,10.67,0.73
