Lab Code,Species,lipid,c12.0,c13.0,Iso14,c14.0,c14.1w9,c14.1w7,c14.1w5,Iso15,Anti15,c15.0,c15.1w8,c15.1w6,Iso16,c16.0,c16.1w11,c16.1w9,c16.1w7,c7Me16.0,c16.1w5,c16.2w6,Iso17,c16.2w4,c16.3w6,c17.0,c16.3w4,c17.1,c16.3w1,c16.4w3,c16.4w1,c18.0,c18.1w13,c18.1w11,c18.1w9,c18.1w7,c18.1w5,"c18.2d5,11",c18.2w7,c18.2w6,c18.2w4,c18.3w6,c18.3w4,c18.3w3,c18.3w1,c18.4w3,c18.4w1,c20.0,c20.1w11,c20.1w9,c20.1w7,c20.2w9,c20.2w6,c20.3w6,c20.4w6,c20.3w3,c20.4w3,c20.5w3,c22.1w11,c22.1w9,c22.1w7,c22.2w6,c21.5w3,c22.4w6,c22.5w6,c22.4w3,c22.5w3,c22.6w3,c24.1w9
P402           ,squid,1.92,0.02,0,0.02,2.27,0.13,0.03,0.05,0.06,0.03,0.35,0.03,0,0.59,23.52,0.16,0.07,1.29,0.14,0.04,0.03,0.05,0.05,0.16,0.65,0.13,0.06,0,0.54,0.13,3.47,0.31,0.09,2.19,1.97,0.11,0.01,0,0.21,0.05,0.07,0.04,0.11,0.06,0.29,0.02,0.17,0.38,2.68,0.08,0.02,0.27,0.03,1.34,0.49,0.21,17.73,0.11,0.16,0.03,0.02,0.26,0.06,0.36,0.01,0.64,35.28,0.22
P403           ,squid,2.33,0.02,0.01,0.02,2.41,0.08,0,0.06,0.05,0.03,0.32,0,0,0.63,23.37,0.26,0.06,1.12,0.14,0.03,0.02,0.05,0.03,0.14,0.56,0.12,0.06,0,0.6,0.13,3.57,0.88,0.11,2.09,2.11,0.14,0,0,0.26,0.06,0.07,0.04,0.1,0.05,0.28,0.03,0.18,0.46,2.71,0.1,0.02,0.36,0.03,1.09,0.62,0.19,17.75,0.1,0.15,0.03,0.01,0.29,0.04,0.33,0,0.61,34.74,0.19
P404           ,squid,2.23,0.03,0.01,0.02,2.66,0.05,0,0.09,0.05,0.02,0.34,0,0,0.67,23.37,0.27,0.07,1.14,0.17,0.03,0.02,0.05,0.02,0.15,0.63,0.12,0.07,0,0.69,0.14,3.52,0.98,0.12,2.09,2.45,0.15,0,0,0.27,0.07,0.08,0.05,0.1,0.03,0.31,0.02,0.19,0.45,2.73,0.09,0.02,0.37,0.02,1.08,0.53,0.2,17.94,0.07,0.2,0.05,0.03,0.31,0.06,0.33,0.05,0.66,33.47,0.17
P405           ,squid,1.98,0.02,0,0.02,2.21,0.09,0.01,0.05,0.04,0.03,0.28,0,0.02,0.81,22.12,0.08,0.05,0.64,0.11,0.03,0,0.03,0.05,0.06,0.59,0.05,0.04,0,0.67,0.04,4.55,0.12,0.19,1.81,1.75,0.14,0,0,0.17,0.04,0.08,0.03,0.06,0.07,0.12,0.05,0.23,0.94,4.38,0.13,0.02,0.33,0.01,1.88,0.41,0.2,18.46,0.14,0.24,0.05,0.02,0.2,0.05,0.39,0.04,0.59,33.77,0.29
P542           ,squid,2.35,0.02,0.01,0.03,2.89,0.07,0.01,0.06,0.04,0.03,0.38,0,0,0.76,22.65,0.17,0.07,0.43,0.06,0.03,0.08,0.02,0.03,0.01,0.6,0.02,0.05,0,0.4,0.03,4.9,0.12,0.27,1.74,1.55,0.11,0.01,0,0.18,0.03,0.1,0.06,0.07,0.05,0.06,0.02,0.18,1.17,3.49,0.11,0.02,0.29,0.02,1.45,0.46,0.91,17.52,0.1,0.25,0.06,0.01,0.31,0.04,0.37,0,0.8,34,0.33
P543           ,squid,2.37,0.02,0.01,0.02,3.19,0.02,0.03,0.07,0.04,0.03,0.44,0,0,0.94,22.39,0.19,0.07,0.36,0.15,0.04,0,0.03,0.04,0,0.73,0.02,0.07,0,0.14,0.04,4.71,0.11,0.31,2.28,1.29,0.12,0.03,0.01,0.2,0.02,0.12,0.09,0.12,0.06,0.07,0.01,0.17,1.19,3.45,0.08,0.02,0.3,0.01,2.14,0.4,1.23,14.61,0.06,0.21,0.02,0,1.24,0.06,0.45,0,0.42,35.15,0.28
P544           ,squid,2.09,0.02,0.01,0.03,3.53,0.03,0,0.06,0.04,0.03,0.36,0,0,0.83,21.72,0.18,0.08,0.42,0.12,0.03,0,0.02,0.03,0,0.66,0.01,0.06,0,0.11,0.03,5.35,0.2,1.97,1.64,0.02,0.12,0.02,0,0.18,0.02,0.12,0.1,0.1,0.05,0.06,0.02,0.21,1.42,3.52,0.11,0,0.31,0.02,1.7,0.56,1.08,15.64,0.07,0.23,0.04,0,0.94,0.05,0.4,0,0.59,34.61,0.23
P545           ,squid,2.06,0.02,0,0.02,2.15,0.02,0,0.04,0.03,0.03,0.34,0,0,0.81,20.74,0.14,0.05,0.35,0.12,0.03,0.01,0.03,0.04,0,0.61,0.01,0.04,0,0.11,0.04,4.9,0.1,0.17,1.62,1.54,0.1,0.01,0,0.16,0.02,0.1,0.05,0.1,0.05,0.04,0.02,0.2,0.99,4.26,0.09,0,0.36,0.01,1.92,0.85,1.32,17.03,0.04,0.24,0.03,0,1.03,0.06,0.35,0,0.58,35.63,0.33
P546           ,squid,2.21,0.02,0.01,0.01,2.42,0.03,0.02,0.05,0.04,0.03,0.39,0,0,0.83,22.02,0.12,0.06,0.42,0.12,0.04,0.01,0.04,0.04,0.01,0.69,0.02,0.06,0,0.13,0.04,4.88,0.19,2,1.37,0.02,0.11,0.01,0,0.19,0.03,0.11,0.06,0.11,0.06,0.08,0.03,0.22,1.02,3.86,0.1,0.01,0.39,0.01,2.12,0.68,1.22,16.12,0.2,0.23,0.02,0,0.95,0.08,0.42,0,0.4,34.93,0.27
P547           ,squid,1.68,0.01,0,0.02,1.87,0.03,0,0.03,0.09,0.03,0.37,0,0,0.68,21.11,0.19,0.07,0.39,0.12,0.04,0,0.03,0.04,0.01,0.64,0.02,0.05,0,0.16,0.03,4.32,0.79,0.12,1.55,1.73,0.1,0.01,0,0.24,0.03,0.11,0.05,0.06,0.02,0.07,0.04,0.23,0.54,3.58,0.09,0.02,0.5,0.04,1.73,0.97,1.35,17.29,0.09,0.41,0.07,0,0.83,0.09,0.36,0,0.55,35.78,0.33
